lat,lon,elevation,ai_risk_score
13.0519536,80.251161,11.0,0.3190978
13.0520382,80.2509806,11.0,0.44485846
13.0525591,80.2509799,10.0,0.3970416
13.0516892,80.2508314,17.0,0.42068842
13.0505526,80.2502488,21.0,0.21070579
13.0498371,80.2499002,16.0,0.26909178
13.035403,80.2570117,11.0,0.8798019
13.038053,80.2567953,12.0,0.5244683
13.0386236,80.2572037,11.0,0.9357252
13.0387094,80.2577323,10.0,0.55078775
13.0387272,80.2591169,12.0,0.42711914
13.0384952,80.25907,12.0,0.21952592
13.0585552,80.2683231,11.0,0.69172746
13.0593714,80.2690443,10.0,0.936252
13.0596841,80.2693795,8.0,0.99054396
13.0607255,80.271555,12.0,0.89229214
13.0609265,80.2733389,11.0,0.87097883
13.0609326,80.2739662,11.0,0.6308908
13.0609158,80.274329,11.0,0.88372856
13.068432,80.2717094,10.0,0.8460743
13.0667625,80.273684,8.0,0.975205
13.0658125,80.2761519,11.0,0.8317077
13.0652515,80.2773771,11.0,0.8890401
13.0647735,80.2782924,9.0,0.97125477
13.0637859,80.2781911,9.0,0.8833752
13.0625452,80.277993,13.0,0.7617408
13.0610462,80.2777484,10.0,0.8228147
13.0597274,80.2775224,9.0,0.9728538
13.0581789,80.2772677,8.0,0.98449033
13.0643907,80.280742,10.0,0.97083324
13.0678163,80.28421,4.0,0.9997819
13.0715455,80.2749612,8.0,0.99843293
13.0237236,80.2276579,11.0,0.2975442
13.0204883,80.2216892,12.0,0.25494483
13.0201566,80.2210981,14.0,0.29726368
13.0158926,80.215384,10.0,0.97651094
13.01424,80.2143479,9.0,0.917179
13.0085663,80.2103263,11.0,0.48522907
13.009488,80.2110096,13.0,0.46212798
13.0129826,80.2075337,9.0,0.96862096
13.0128439,80.2086446,11.0,0.25959718
13.0130435,80.2108518,9.0,0.8561001
13.0125655,80.2117795,10.0,0.841562
13.0118396,80.2128717,13.0,0.5949336
13.0104614,80.2163283,14.0,0.19491425
13.0097082,80.2150302,14.0,0.19491425
13.0074477,80.2128797,15.0,0.19491425
13.0052438,80.2125876,20.0,0.19491425
13.0052297,80.2126552,20.0,0.19491425
13.0037866,80.2120421,16.0,0.19491425
13.0025385,80.2121142,13.0,0.19491425
12.9972779,80.2164696,14.0,0.35159498
13.058902,80.2741686,8.0,0.8887678
13.0596347,80.2742472,12.0,0.89462787
13.061587,80.2743142,11.0,0.8703618
13.0624919,80.2742136,8.0,0.96661615
13.0629999,80.2741349,10.0,0.949578
13.0641713,80.2739412,11.0,0.8682707
